,Unidade Geográfica,FUND Apr,MED Apr,FUND Rep,MED Rep,FUND Aban,MED Aban,FUND Distorção ID-S,MED Distorção ID-S,Remuneração_Média,Carga_Horária_Semanal,Remuneração_40hrs_semanais,INF DCS,FUND DCS,MED DCS,Média_INSE,INSE1,INSE2,INSE3,INSE4,INSE5,INSE6,INSE7,INSE8,Reg Baixa,Reg BaixaMedia,Reg MediaAlta,Reg Alta,FUND Nota_Matemática,FUND Nota_Português,Nota Média Padronizada,INF MH,FUND MH,MED MH,FUND ED G1,FUND ED G2,FUND ED G3,FUND ED G4,FUND ED G5,FUND ED G6,MED ED G1,MED ED G2,MED ED G3,MED ED G4,MED ED G5,INF MA,FUND MA,ME MA,INF AD G1,INF AD G2,INF AD G3,INF AD G4,INF AD G5,FUND AD G1,FUND AD G2,FUND AD G3,FUND AD G4,FUND AD G5,MED AD G1,MED AD G2,MED AD G3,MED AD G4,MED AD G5
0,Brasil,96.3,89.8,2.2,4.6,1.5,5.6,15.6,27.9,,,,84.8,92.0,97.4,,,,,,,,,,9.6,32.9,44.7,12.8,,,,5.8,4.7,5.4,19.2,18.0,24.8,28.7,6.1,3.2,9.1,25.2,43.1,14.1,7.6,17.5,24.0,30.6,64.9,1.3,19.0,1.9,12.9,66.5,1.8,20.1,2.5,9.1,66.1,1.8,25.7,3.9,2.5
1,Norte,94.2,80.9,3.2,8.4,2.6,10.7,22.4,40.0,,,,80.6,87.0,97.6,,,,,,,,,,16.5,29.8,39.1,14.6,198.76,191.06,5.235715,4.5,4.4,4.8,23.8,15.7,26.7,24.9,5.3,3.6,8.4,22.3,42.0,14.3,10.5,18.1,22.9,30.3,67.7,1.0,12.2,2.0,17.1,57.4,1.1,24.6,2.7,14.2,66.1,1.3,30.8,3.1,2.3
2,Nordeste,95.3,90.3,2.5,2.9,2.2,6.8,20.7,35.3,,,,75.0,84.8,96.8,,,,,,,,,,9.2,27.5,45.6,17.7,200.05,192.24,5.281828,5.1,4.6,5.7,22.8,19.7,26.0,24.1,4.6,2.8,10.8,31.8,37.0,12.2,7.6,18.0,23.4,33.3,61.2,2.7,11.7,1.3,23.1,52.7,2.1,26.7,2.6,15.9,66.1,1.7,36.1,6.4,2.7
3,Sudeste,97.8,92.9,1.3,3.6,0.9,3.5,10.7,20.5,,,,86.8,96.5,99.6,,,,,,,,,,7.6,37.7,45.7,9.0,218.93,209.98,5.965273,6.2,5.0,5.5,17.2,19.4,22.3,31.3,6.7,3.1,8.7,24.4,45.8,13.9,6.6,17.8,25.8,31.3,65.4,0.8,20.7,2.0,11.1,76.4,1.7,15.1,2.7,4.1,66.1,1.8,19.5,3.2,0.3
4,Sul,96.5,88.1,2.6,5.4,0.9,6.5,13.1,23.9,,,,90.2,94.3,93.6,,,,,,,,,,8.3,36.3,46.2,9.2,223.97,215.54,6.162713,6.9,4.3,4.7,13.6,12.4,27.3,34.9,7.6,4.2,7.7,16.1,47.4,17.7,9.8,15.0,21.6,24.7,65.3,1.1,22.8,2.1,8.7,74.3,1.4,16.7,2.0,5.6,66.1,1.1,19.7,2.7,6.3
5,Centro-Oeste,96.5,88.1,3.0,9.3,0.5,2.6,12.9,24.8,,,,94.0,96.9,98.3,,,,,,,,,,7.7,42.5,43.7,6.1,212.79,206.57,5.785925,5.9,4.7,5.1,21.4,19.8,24.2,25.6,6.1,2.9,9.4,30.5,39.0,13.5,6.3,18.9,25.1,30.1,68.9,1.8,22.4,1.8,5.1,74.4,3.0,17.0,1.8,3.8,66.1,4.2,26.6,3.0,1.6
6,RO,96.9,88.0,2.0,6.8,1.1,5.2,14.4,27.6,,,,94.7,95.2,99.0,4.88,0.39,9.85,20.43,27.91,22.04,11.96,6.69,0.74,3.7,20.9,58.9,16.5,202.42,195.05,5.378228,4.3,4.2,4.9,28.1,13.3,24.6,25.0,6.3,2.7,6.6,23.4,48.1,14.8,6.5,18.0,22.9,27.5,85.2,2.4,6.4,0.7,5.3,69.3,2.2,20.7,2.1,5.7,66.1,2.3,27.1,2.0,0.9
7,AC,94.7,85.8,2.6,7.7,2.7,6.5,23.4,31.9,,,,71.4,80.5,92.0,4.56,2.36,24.6,22.27,21.43,15.17,8.61,5.11,0.47,29.2,43.7,20.3,6.8,208.08,202.08,5.614254,4.6,4.3,5.3,27.8,15.8,29.8,23.5,2.6,0.5,12.9,37.3,39.5,5.8,1.1,17.6,22.0,25.6,60.5,0.9,10.3,0.9,27.4,48.4,0.9,25.9,1.0,23.8,66.1,1.8,36.2,1.2,12.2
8,AM,95.8,91.4,1.5,2.9,2.7,5.7,18.7,36.7,,,,75.6,82.0,97.8,4.5,4.09,25.95,21.86,20.26,13.9,7.92,5.23,0.78,22.3,32.9,34.5,10.3,205.68,196.73,5.471078,4.2,4.3,4.8,23.2,20.8,23.9,26.1,3.8,2.2,8.5,23.2,44.0,10.8,6.6,18.3,23.1,29.6,63.8,0.4,11.0,3.3,21.5,51.5,0.4,24.2,4.4,19.5,66.1,0.6,40.9,6.2,1.9
9,RR,95.9,86.1,2.6,8.8,1.5,5.1,18.0,29.6,4074.788,35.39817,4604.518,86.4,79.7,82.6,4.7,3.32,18.89,19.62,21.49,17.29,10.24,8.0,1.14,21.6,30.8,38.7,8.9,205.15,196.84,5.462952,4.9,4.3,4.8,24.1,15.4,23.7,29.7,5.2,1.9,9.5,26.8,48.3,10.7,3.7,19.7,21.4,23.4,64.9,1.4,21.9,1.4,10.4,56.6,1.3,20.3,4.1,17.7,66.1,0.7,25.8,4.9,12.5
10,PA,92.6,71.3,4.1,11.9,3.3,16.8,26.9,47.6,4344.392,29.41605,5907.513,82.5,89.4,99.5,4.29,5.55,30.95,24.64,20.12,11.5,4.8,2.21,0.22,14.3,27.9,39.8,18.0,192.82,186.0,5.030174,4.5,4.4,4.5,20.7,12.3,28.9,25.1,6.9,6.1,5.3,15.1,36.4,21.0,21.3,18.0,23.3,33.8,69.9,0.9,12.6,1.3,15.3,59.6,1.3,25.6,1.7,11.8,66.1,1.3,23.2,1.5,0.4
11,AP,88.9,75.3,8.8,16.5,2.3,8.2,25.9,40.5,5774.306,38.84109,5946.596,73.8,85.4,98.7,4.66,1.56,19.11,23.6,23.94,16.25,9.1,5.8,0.63,19.5,24.4,37.9,18.2,192.85,187.17,5.05203,4.2,4.4,5.7,35.3,24.2,24.0,14.5,1.5,0.5,18.8,39.4,34.0,4.7,1.4,17.4,21.7,29.7,57.0,1.3,13.9,2.5,25.3,61.5,1.8,16.2,3.2,17.3,66.1,3.6,7.5,3.0,1.0
12,TO,97.8,93.5,1.6,3.1,0.6,3.4,14.0,28.2,3775.19,36.60252,4125.607,79.1,90.1,97.5,4.73,1.55,16.58,21.1,24.61,19.37,10.45,5.66,0.68,3.7,26.5,55.4,14.4,199.58,189.19,5.217367,5.3,4.9,5.4,27.4,13.9,27.6,25.1,5.1,0.9,11.1,22.7,51.0,11.7,2.4,18.6,22.2,25.8,64.2,1.2,11.7,3.8,19.1,55.6,0.8,29.1,3.7,10.8,66.1,0.8,44.5,2.7,2.6
13,MA,95.2,88.7,2.1,4.6,2.7,6.7,19.8,28.1,3399.973,24.32324,5591.317,56.3,70.2,95.7,4.24,5.7,32.92,25.04,19.39,10.57,4.34,1.84,0.21,13.0,32.0,40.7,14.3,189.87,181.24,4.887221,4.2,4.3,5.2,28.4,28.2,18.1,21.1,2.6,1.6,13.1,27.5,39.9,11.9,7.2,16.8,21.6,34.7,43.0,2.0,12.2,1.0,41.8,33.0,1.5,31.3,2.0,32.2,66.1,2.3,35.1,3.3,3.9
14,PI,97.3,93.9,1.2,1.1,1.5,5.0,20.7,36.2,3366.714,32.76771,4109.794,77.4,87.3,92.9,4.28,4.98,31.89,24.66,20.12,11.6,4.73,1.87,0.15,8.0,31.8,47.5,12.7,201.9,195.62,5.378661,4.6,5.1,5.7,14.8,18.7,26.2,29.1,6.3,4.9,14.0,22.6,37.6,13.9,11.4,17.3,21.5,29.2,61.4,2.0,13.9,1.7,21.0,50.5,1.8,31.0,2.7,14.0,66.1,1.8,31.2,3.4,7.3
15,CE,99.6,97.7,0.1,0.3,0.3,2.0,10.3,22.3,3001.785,29.2964,4098.503,85.6,92.9,97.7,4.38,3.85,27.62,25.49,21.86,12.94,5.62,2.4,0.22,5.4,28.6,51.2,14.8,219.98,214.85,6.073924,5.0,4.5,6.2,14.0,20.0,35.5,26.1,3.2,1.2,17.2,39.9,30.7,8.6,3.1,18.7,24.2,37.6,66.7,3.8,15.1,1.6,12.8,59.7,2.6,28.5,3.1,6.1,66.1,2.4,26.8,6.7,1.8
16,RN,88.0,71.5,7.4,11.9,4.6,16.6,23.1,44.1,4157.927,30.92382,5378.284,86.0,93.8,99.4,4.57,1.92,20.41,24.62,25.15,16.46,7.72,3.4,0.32,5.8,23.1,53.3,17.8,190.17,182.06,4.907869,4.3,4.6,4.9,28.7,16.4,19.0,25.2,6.7,4.0,6.4,30.4,37.3,16.0,9.7,17.9,23.6,34.4,77.5,3.6,4.5,0.9,13.5,67.5,4.0,19.1,2.7,6.7,66.1,1.1,12.6,3.0,0.7
17,PB,96.5,95.5,1.5,0.8,2.0,3.7,23.0,34.7,3199.712,34.84702,3672.867,76.5,90.5,97.3,4.46,3.03,24.31,24.75,23.91,14.65,6.48,2.66,0.22,7.3,25.9,48.7,18.1,197.28,188.47,5.160323,6.3,4.9,7.3,28.5,15.5,23.0,22.7,6.4,3.9,16.2,44.0,22.7,9.9,7.0,19.1,22.9,30.3,57.6,5.3,12.4,2.1,22.6,60.1,4.2,22.1,3.0,10.6,66.1,3.9,20.7,3.1,2.4
18,PE,96.8,93.6,2.5,4.9,0.7,1.5,18.9,23.4,3300.874,35.19068,3751.987,75.1,85.8,98.2,4.5,2.72,22.28,25.68,24.76,14.94,6.47,2.87,0.28,10.9,32.5,42.8,13.8,199.98,190.29,5.245019,5.1,4.5,7.4,26.3,17.7,21.4,25.7,5.5,3.4,7.7,39.9,35.4,9.7,6.7,17.6,25.4,34.1,58.8,2.9,12.4,1.0,24.9,55.3,2.3,25.5,1.9,15.0,66.1,1.4,40.7,3.4,1.4
19,AL,97.5,86.3,1.3,4.9,1.2,8.8,19.8,33.0,2882.029,30.24757,3811.253,70.9,84.8,99.4,4.39,3.87,26.95,25.75,22.43,12.88,5.52,2.35,0.25,10.3,30.0,47.9,11.8,205.26,191.83,5.373919,5.6,4.8,6.0,27.3,19.0,20.5,23.0,5.6,4.6,5.9,27.9,36.5,16.9,12.7,18.7,26.3,37.3,61.0,2.3,6.8,1.0,28.9,58.5,2.5,20.6,1.9,16.5,66.1,3.6,25.8,2.8,0.7
20,SE,97.4,94.0,1.0,2.3,1.6,3.7,27.6,43.6,4928.655,38.25631,5153.299,78.8,94.1,99.9,4.39,4.2,26.51,24.76,22.42,13.82,5.84,2.28,0.17,6.1,22.6,52.1,19.2,190.05,179.64,4.861555,5.1,4.4,5.8,28.1,14.5,17.6,26.3,8.3,5.2,7.2,25.6,34.2,19.3,13.6,18.3,23.7,35.3,63.8,4.2,10.0,0.6,21.4,67.0,2.8,21.7,1.3,7.2,66.1,1.0,19.3,1.1,0.1
21,BA,92.0,87.3,4.2,1.2,3.8,11.5,26.6,50.9,4060.041,28.72737,5653.202,76.4,84.4,95.7,4.5,2.81,22.62,25.03,24.3,15.32,6.72,2.89,0.3,8.8,21.5,43.9,25.8,196.34,190.3,5.175651,5.6,4.5,4.6,18.9,17.1,33.1,23.6,4.6,2.7,6.4,23.6,45.9,14.6,8.3,18.2,22.8,30.8,66.1,1.4,9.7,1.3,21.5,53.0,1.1,26.5,3.3,16.1,66.1,0.8,49.8,11.5,3.0
22,MG,97.7,91.2,1.4,4.9,0.9,3.9,9.5,21.5,3154.478,25.14636,5017.79,86.4,97.5,99.2,5.07,0.81,8.56,14.12,22.38,24.0,17.5,11.53,1.11,8.5,37.2,45.6,8.7,216.69,210.25,5.927384,5.8,4.5,5.0,25.6,15.5,19.2,29.8,7.4,2.5,10.9,19.8,46.3,16.0,5.5,16.5,22.6,28.0,62.7,1.4,20.5,4.0,11.4,71.9,2.4,17.1,6.0,2.6,66.1,3.4,13.1,11.0,0.7
23,ES,96.5,90.6,2.8,6.9,0.7,2.5,16.5,26.1,3136.805,25.92416,4839.972,98.4,98.8,99.7,5.01,0.71,8.83,15.84,24.16,23.79,16.07,9.75,0.86,15.5,45.0,35.9,3.6,217.48,209.88,5.935749,4.9,4.9,5.9,20.8,15.2,22.7,32.1,6.0,3.2,10.6,31.3,39.3,11.6,6.8,16.2,23.6,33.1,57.9,1.6,35.5,3.4,1.6,80.7,2.2,13.9,2.1,1.1,66.1,3.3,11.9,2.6,0.4
24,RJ,96.2,92.3,2.6,5.4,1.2,2.3,23.1,37.0,3906.539,27.15132,5755.21,66.2,87.2,99.5,4.93,0.85,9.98,17.83,26.07,22.93,13.59,7.96,0.81,3.4,19.0,59.6,18.0,205.36,196.97,5.469329,5.8,4.9,5.8,12.9,19.6,23.6,30.4,8.0,5.5,11.9,22.9,39.4,14.7,10.5,18.6,27.1,29.7,37.3,2.3,25.8,4.9,29.7,62.3,3.6,14.3,3.7,16.1,66.1,1.3,17.8,0.6,0.3
25,SP,98.4,94.0,0.8,2.1,0.8,3.9,6.8,14.1,4224.868,32.92311,5133.012,89.7,98.5,99.9,5.28,0.27,4.05,10.25,20.53,26.29,21.76,15.36,1.48,7.3,43.8,42.3,6.6,224.29,213.94,6.139723,6.7,5.3,5.6,13.6,21.8,23.6,32.4,5.9,2.7,6.1,27.0,48.3,12.6,5.8,18.4,27.5,33.6,73.7,0.0,17.2,0.4,8.7,83.7,0.5,14.1,0.2,1.5,66.1,0.9,24.1,0.1,0.1
26,PR,97.5,95.8,2.2,2.9,0.3,1.3,9.3,16.3,3525.443,24.75296,5697.005,88.5,97.1,98.4,5.36,0.18,3.66,8.96,18.36,25.61,23.08,18.27,1.88,5.0,36.1,48.6,10.3,227.22,216.45,6.241365,6.7,4.5,4.6,13.9,14.9,27.3,33.7,6.9,3.3,6.5,14.7,53.8,16.2,7.8,16.1,23.3,24.9,73.2,0.3,13.7,2.0,10.8,80.0,1.2,13.9,1.7,3.2,66.1,2.5,11.3,1.6,0.9
27,SC,95.3,78.0,4.2,13.6,0.5,8.4,12.5,25.5,3664.1,29.11282,5034.346,95.8,91.7,88.1,5.51,0.11,2.03,6.17,14.88,25.67,26.62,22.35,2.18,18.9,56.3,22.2,2.6,228.96,220.76,6.353013,7.1,4.1,4.5,8.9,7.4,32.4,34.9,9.2,7.2,8.9,13.8,37.1,21.7,16.3,14.7,22.7,26.1,60.9,1.8,31.6,1.8,3.9,75.7,1.5,14.0,1.9,6.9,66.1,0.4,21.2,3.3,11.1
28,RS,96.4,87.8,1.9,1.5,1.7,10.7,17.5,30.7,3371.081,25.51166,5285.554,85.9,94.4,97.4,5.38,0.19,3.71,8.54,18.08,24.77,23.48,19.24,1.98,4.2,22.4,60.7,12.7,216.81,210.86,5.940774,6.8,4.2,4.9,16.3,13.1,23.9,36.1,7.5,3.1,8.1,19.6,47.7,16.6,7.2,14.0,19.5,23.6,61.4,1.1,21.4,2.7,13.4,67.4,1.5,22.4,2.4,6.3,66.1,1.2,25.0,2.7,2.6
29,MS,93.3,83.5,6.3,15.1,0.4,1.4,20.7,31.4,3656.822,22.20772,6586.577,96.7,97.3,99.1,5.11,0.48,7.32,13.81,23.01,25.04,17.09,11.87,1.39,5.4,50.3,42.9,1.4,205.25,199.75,5.517797,6.1,4.5,5.2,9.5,16.8,24.9,34.7,9.0,5.1,9.9,22.4,37.9,18.1,11.2,18.5,26.8,30.9,60.2,0.7,34.5,1.7,2.9,82.0,1.4,11.6,1.9,3.1,66.1,2.6,20.0,2.2,0.9
30,MT,98.5,81.0,1.0,13.2,0.5,5.8,7.7,23.4,4348.562,34.49738,5042.195,93.7,95.5,97.2,5.04,0.34,7.4,15.76,25.38,24.97,15.74,9.44,0.98,11.6,45.6,38.4,4.4,207.58,199.98,5.566501,5.3,4.2,4.5,22.8,17.3,23.6,25.3,7.7,3.3,7.9,27.5,39.9,16.2,6.6,19.7,23.3,28.5,75.0,0.9,16.6,2.5,5.0,75.0,2.8,15.4,1.0,5.8,66.1,5.7,20.9,1.3,2.5
31,GO,97.4,96.4,1.9,2.3,0.7,1.3,11.3,21.3,4678.332,35.75151,5234.276,91.0,96.9,98.4,5.07,0.5,7.06,14.26,24.32,26.11,17.02,9.84,0.91,4.9,31.7,53.2,10.2,214.47,208.97,5.861682,6.4,4.8,5.4,19.2,21.7,22.8,28.6,5.4,2.3,9.6,27.9,44.5,11.6,4.9,18.5,26.0,29.4,72.0,3.8,14.4,1.3,8.5,66.8,3.2,24.2,2.3,3.5,66.1,3.3,38.6,4.9,1.5
32,DF,94.8,84.8,5.0,13.9,0.2,1.3,15.7,29.0,6545.916,33.79133,7748.634,98.3,98.7,99.3,5.34,0.24,3.88,9.86,19.91,25.29,20.68,17.49,2.65,13.5,72.4,14.1,0.0,225.21,218.09,6.232792,5.1,5.1,5.1,41.4,24.1,27.4,6.0,0.7,0.4,12.2,62.6,20.9,3.0,1.0,19.6,24.1,33.8,82.4,2.9,11.1,2.1,1.5,83.8,5.0,8.4,1.5,1.3,66.1,5.5,8.6,1.8,0.8
